IPN,Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Library Ref,Library Path,Footprint Ref,Footprint Path,Footprint Ref 2,Footprint Path 2,Footprint Ref 3,Footprint Path 3,Series,Value,Capacitance,Tolerance,Voltage - Rated,Temperature Coefficient,Operating Temperature,Package / Case,Size / Dimension,Thickness (Max)
CAP-YAG-CC-0805-00001,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf,//media.digikey.com/Renders/Yageo%20Renders/0805%288%5E5mm%20thickness%29.jpg,311-1136-1-ND,CC0805KRX7R9BB103,Yageo,CAP CER 10000PF 50V X7R 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,CC,10000pF,10000pF,10%,50V,X7R,-55°C ~ 125°C,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.024"" (0.60mm)"
CAP-YAG-CC-0805-00002,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_Y5V_6.3V-to-50V_9.pdf,//media.digikey.com/Renders/Yageo%20Renders/0805%288%5E5mm%20thickness%29.jpg,311-1361-1-ND,CC0805ZRY5V9BB104,Yageo,CAP CER 0.1UF 50V Y5V 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,CC,0.1uF,0.1uF,"-20%, +80%",50V,Y5V (F),-30°C ~ 85°C,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.024"" (0.60mm)"
CAP-YAG-CC-0805-00003,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GP_NP0_16V-to-50V_18.pdf,//media.digikey.com/Renders/Yageo%20Renders/0805%288%5E5mm%20thickness%29.jpg,311-1100-1-ND,CC0805JRNPO9BN120,Yageo,CAP CER 12PF 50V C0G/NPO 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,CC,12pF,12pF,5%,50V,"C0G, NP0",-55°C ~ 125°C,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.024"" (0.60mm)"
CAP-YAG-CC-0805-00004,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GP_NP0_16V-to-50V_18.pdf,//media.digikey.com/photos/Yageo%20Photos/311-0805%20MLCC.jpg,311-1111-1-ND,CC0805JRNPO9BN101,Yageo,CAP CER 100PF 50V C0G/NPO 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,CC,100pF,100pF,5%,50V,"C0G, NP0",-55°C ~ 125°C,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.024"" (0.60mm)"
CAP-YAG-CC-0805-00005,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GP_NP0_16V-to-50V_18.pdf,//media.digikey.com/Renders/Yageo%20Renders/0805%288%5E5mm%20thickness%29.jpg,311-1103-1-ND,CC0805JRNPO9BN220,Yageo,CAP CER 22PF 50V C0G/NPO 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,CC,22pF,22pF,5%,50V,"C0G, NP0",-55°C ~ 125°C,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.024"" (0.60mm)"
CAP-YAG-CC-0805-00006,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GP_NP0_16V-to-50V_18.pdf,//media.digikey.com/Renders/Yageo%20Renders/0805%288%5E5mm%20thickness%29.jpg,311-1105-1-ND,CC0805JRNPO9BN330,Yageo,CAP CER 33PF 50V C0G/NPO 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,CC,33pF,33pF,5%,50V,"C0G, NP0",-55°C ~ 125°C,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.024"" (0.60mm)"
CAP-YAG-CC-0805-00007,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GP_NP0_16V-to-50V_18.pdf,//media.digikey.com/photos/Yageo%20Photos/311-0805%20MLCC.jpg,311-1102-1-ND,CC0805JRNPO9BN180,Yageo,CAP CER 18PF 50V C0G/NPO 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,CC,18pF,18pF,5%,50V,"C0G, NP0",-55°C ~ 125°C,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.024"" (0.60mm)"
CAP-YAG-CC-0805-00008,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GP_NP0_16V-to-50V_18.pdf,//media.digikey.com/photos/Yageo%20Photos/311-0805%20MLCC.jpg,311-1106-1-ND,CC0805JRNPO9BN390,Yageo,CAP CER 39PF 50V C0G/NPO 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,CC,39pF,39pF,5%,50V,"C0G, NP0",-55°C ~ 125°C,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.024"" (0.60mm)"
CAP-YAG-CC-0805-00009,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GP_NP0_16V-to-50V_18.pdf,//media.digikey.com/photos/Yageo%20Photos/311-0805%20MLCC.jpg,311-1104-1-ND,CC0805JRNPO9BN270,Yageo,CAP CER 27PF 50V C0G/NPO 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,CC,27pF,27pF,5%,50V,"C0G, NP0",-55°C ~ 125°C,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.024"" (0.60mm)"
CAP-YAG-CC-0805-00010,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GP_NP0_16V-to-50V_18.pdf,//media.digikey.com/photos/Yageo%20Photos/311-0805%20MLCC.jpg,311-1109-1-ND,CC0805JRNPO9BN680,Yageo,CAP CER 68PF 50V C0G/NPO 0805,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,CC,68pF,68pF,5%,50V,"C0G, NP0",-55°C ~ 125°C,0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.024"" (0.60mm)"
