IPN,Datasheets,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Library Ref,Library Path,Footprint Ref,Footprint Path,Foorprint Ref 2,Footprint Path 2,Foorprint Ref 3,Footprint Path 3,Series,Part Status,Value,Tolerance,Power (Watts),Composition,Features,Temperature Coefficient,Operating Temperature,Package / Case,Supplier Device Package,Size / Dimension,Height - Seated (Max)
RES-YAG-0603-00001,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,311-0.0GRCT-ND,RC0603JR-070RL,Yageo,RES SMD 0 OHM JUMPER 1/10W 0603,Resistor,SchLib\Resistor.SchLib,0603_RESC1608X06N,PcbLib\Resistor.PcbLib,0603_RESC1608X06M,PcbLib\Resistor.PcbLib,0603_RESC1608X06L,PcbLib\Resistor.PcbLib,RC,Active,0R,Jumper,"0.1W, 1/10W",Thick Film,Moisture Resistant,-,-55°C ~ 155°C,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)"
RES-YAG-060300000,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,311-10KGRCT-ND,RC0603JR-0710KL,Yageo,RES SMD 10K OHM 5% 1/10W 0603,Resistor,SchLib\Resistor.SchLib,0603_RESC1608X06N,PcbLib\Resistor.PcbLib,0603_RESC1608X06M,PcbLib\Resistor.PcbLib,0603_RESC1608X06L,PcbLib\Resistor.PcbLib,RC,Active,10k,5%,"0.1W, 1/10W",Thick Film,Moisture Resistant,100ppm/°C,-55°C ~ 155°C,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)"
RES-YAG-060300001,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,311-1.0KGRCT-ND,RC0603JR-071KL,Yageo,RES SMD 1K OHM 5% 1/10W 0603,Resistor,SchLib\Resistor.SchLib,0603_RESC1608X06N,PcbLib\Resistor.PcbLib,0603_RESC1608X06M,PcbLib\Resistor.PcbLib,0603_RESC1608X06L,PcbLib\Resistor.PcbLib,RC,Active,1k,5%,"0.1W, 1/10W",Thick Film,Moisture Resistant,100ppm/°C,-55°C ~ 155°C,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)"
RES-YAG-060300002,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,311-22KGRCT-ND,RC0603JR-0722KL,Yageo,RES SMD 22K OHM 5% 1/10W 0603,Resistor,SchLib\Resistor.SchLib,0603_RESC1608X06N,PcbLib\Resistor.PcbLib,0603_RESC1608X06M,PcbLib\Resistor.PcbLib,0603_RESC1608X06L,PcbLib\Resistor.PcbLib,RC,Active,22k,5%,"0.1W, 1/10W",Thick Film,Moisture Resistant,100ppm/°C,-55°C ~ 155°C,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)"
RES-YAG-060300003,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,311-47KGRCT-ND,RC0603JR-0747KL,Yageo,RES SMD 47K OHM 5% 1/10W 0603,Resistor,SchLib\Resistor.SchLib,0603_RESC1608X06N,PcbLib\Resistor.PcbLib,0603_RESC1608X06M,PcbLib\Resistor.PcbLib,0603_RESC1608X06L,PcbLib\Resistor.PcbLib,RC,Active,47k,5%,"0.1W, 1/10W",Thick Film,Moisture Resistant,100ppm/°C,-55°C ~ 155°C,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)"
RES-YAG-060300004,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,311-10.0KHRCT-ND,RC0603FR-0710KL,Yageo,RES SMD 10K OHM 1% 1/10W 0603,Resistor,SchLib\Resistor.SchLib,0603_RESC1608X06N,PcbLib\Resistor.PcbLib,0603_RESC1608X06M,PcbLib\Resistor.PcbLib,0603_RESC1608X06L,PcbLib\Resistor.PcbLib,RC,Active,10k,1%,"0.1W, 1/10W",Thick Film,Moisture Resistant,100ppm/°C,-55°C ~ 155°C,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)"
RES-YAG-060300005,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,311-1.00KHRCT-ND,RC0603FR-071KL,Yageo,RES SMD 1K OHM 1% 1/10W 0603,Resistor,SchLib\Resistor.SchLib,0603_RESC1608X06N,PcbLib\Resistor.PcbLib,0603_RESC1608X06M,PcbLib\Resistor.PcbLib,0603_RESC1608X06L,PcbLib\Resistor.PcbLib,RC,Active,1k,1%,"0.1W, 1/10W",Thick Film,Moisture Resistant,100ppm/°C,-55°C ~ 155°C,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)"
RES-YAG-060300006,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,311-100HRCT-ND,RC0603FR-07100RL,Yageo,RES SMD 100 OHM 1% 1/10W 0603,Resistor,SchLib\Resistor.SchLib,0603_RESC1608X06N,PcbLib\Resistor.PcbLib,0603_RESC1608X06M,PcbLib\Resistor.PcbLib,0603_RESC1608X06L,PcbLib\Resistor.PcbLib,RC,Active,100R,1%,"0.1W, 1/10W",Thick Film,Moisture Resistant,100ppm/°C,-55°C ~ 155°C,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)"
RES-YAG-060300007,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,311-1.00MHRCT-ND,RC0603FR-071ML,Yageo,RES SMD 1M OHM 1% 1/10W 0603,Resistor,SchLib\Resistor.SchLib,0603_RESC1608X06N,PcbLib\Resistor.PcbLib,0603_RESC1608X06M,PcbLib\Resistor.PcbLib,0603_RESC1608X06L,PcbLib\Resistor.PcbLib,RC,Active,1M,1%,"0.1W, 1/10W",Thick Film,Moisture Resistant,100ppm/°C,-55°C ~ 155°C,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)"
RES-YAG-060300008,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,311-47.0KHRCT-ND,RC0603FR-0747KL,Yageo,RES SMD 47K OHM 1% 1/10W 0603,Resistor,SchLib\Resistor.SchLib,0603_RESC1608X06N,PcbLib\Resistor.PcbLib,0603_RESC1608X06M,PcbLib\Resistor.PcbLib,0603_RESC1608X06L,PcbLib\Resistor.PcbLib,RC,Active,47k,1%,"0.1W, 1/10W",Thick Film,Moisture Resistant,100ppm/°C,-55°C ~ 155°C,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)"
